coefficient,value,model_domain,model_version
CPA_HCC229,0.237,CMS-HCC,C28
CPD_HCC36,0.172,CMS-HCC,C28
CPD_HCC221,1.363,CMS-HCC,C28
INS_HCC51,1.03,CMS-HCC,C28
INS_HCC277,1.12,CMS-HCC,C28
INS_HCC387,1.203,CMS-HCC,C28
NE_MCAID_NORIGDIS_NEM0_34,0.754,CMS-HCC,C28
CPA_HCC454,0.557,CMS-HCC,C28
CPD_HCC226,0.551,CMS-HCC,C28
INS_F80_84,0.845,CMS-HCC,C28
INS_HCC65,0.458,CMS-HCC,C28
SNPNE_NMCAID_NORIGDIS_NEF66,0.93,CMS-HCC,C28
SNPNE_MCAID_NORIGDIS_NEM85_89,2.314,CMS-HCC,C28
CPD_HCC136,0.792,CMS-HCC,C28
INS_HCC68,0,CMS-HCC,C28
NE_MCAID_NORIGDIS_NEF66,0.937,CMS-HCC,C28
NE_MCAID_NORIGDIS_NEF68,0.96,CMS-HCC,C28
CPA_D3,0,CMS-HCC,C28
INS_M55_59,0.854,CMS-HCC,C28
INS_HCC212,0.263,CMS-HCC,C28
INS_DISABLED_CANCER_V28,0.182,CMS-HCC,C28
NE_NMCAID_NORIGDIS_NEM65,0.565,CMS-HCC,C28
CPA_HCC222,2.081,CMS-HCC,C28
CPD_HCC79,0.696,CMS-HCC,C28
CPD_HCC126,0.224,CMS-HCC,C28
CPD_HCC279,0.606,CMS-HCC,C28
CPD_HCC283,0,CMS-HCC,C28
SNPNE_NMCAID_NORIGDIS_NEM70_74,1.24,CMS-HCC,C28
CPA_HCC155,0.179,CMS-HCC,C28
CPD_HCC37,0.172,CMS-HCC,C28
CPD_HCC328,0.309,CMS-HCC,C28
NE_NMCAID_ORIGDIS_NEF90_94,1.342,CMS-HCC,C28
INS_HCC263,1.245,CMS-HCC,C28
SNPNE_NMCAID_NORIGDIS_NEF80_84,1.605,CMS-HCC,C28
CPA_HCC381,1.636,CMS-HCC,C28
CPA_HCC383,1.03,CMS-HCC,C28
CPA_HCC399,0.077,CMS-HCC,C28
CPD_HCC190,0.835,CMS-HCC,C28
CPD_HCC282,0.052,CMS-HCC,C28
INS_F35_44,0.74,CMS-HCC,C28
INS_M75_79,1.109,CMS-HCC,C28
INS_HCC380,1.772,CMS-HCC,C28
INS_HCC385,3.399,CMS-HCC,C28
NE_NMCAID_ORIGDIS_NEF95_GT,1.342,CMS-HCC,C28
NE_MCAID_ORIGDIS_NEF95_GT,2.09,CMS-HCC,C28
CPD_HCC2,0.696,CMS-HCC,C28
CPD_HCC454,0.496,CMS-HCC,C28
INS_HCC49,4.626,CMS-HCC,C28
NE_NMCAID_NORIGDIS_NEF65,0.524,CMS-HCC,C28
SNPNE_MCAID_ORIGDIS_NEF80_84,2.636,CMS-HCC,C28
CPD_HCC196,0.97,CMS-HCC,C28
CPD_HCC225,0.551,CMS-HCC,C28
INS_HCC254,0,CMS-HCC,C28
